cod_imovel,entity_id,tier,distance_km
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,4029,slaughter_point,27.143220569196618
GO-5212204-011050C9BC804D77A80A4F161A120C5A,5484,slaughter_point,16.733692177433134
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,48.0491.0063-1,intake_point,15.16816415993344
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,4029,slaughter_point,28.499568483496216
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,4029,slaughter_point,25.06137788588624
GO-5212204-16833B91FD32494C864B458F765C0755,5484,slaughter_point,22.195213819011
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,4029,slaughter_point,26.25040182288941
GO-5212204-230E3EB4EA894130A1CF632779C35DF4,4029,slaughter_point,29.354561374798028
GO-5212204-27018A8454A847469C4A947E06A1A23E,4029,slaughter_point,29.613407691961882
GO-5212204-2849994015EF46DB90DE964061CB16A2,5484,slaughter_point,16.47300634891626
GO-5212204-294B806F6169468E98BB3456EC5158A4,SIE_10373806000189_1291/09_1,slaughter_point,12.718770137760643
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,5484,slaughter_point,16.0381899952735
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,5484,slaughter_point,23.829070020842433
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,5484,slaughter_point,20.63092717489664
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,SIE_23397792000185_149816_1,slaughter_point,24.516244695897953
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,5484,slaughter_point,9.96312214973614
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,4029,slaughter_point,22.998579437495554
GO-5212204-722863690680490CA4C132CD628B76D4,4029,slaughter_point,24.94043585490616
GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,48.0491.0063-1,intake_point,14.18004512926671
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,5484,slaughter_point,20.31743748478854
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,5484,slaughter_point,19.590604835707246
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,5484,slaughter_point,21.943964699523725
GO-5212204-BE591775498E412EB7E493B69772012F,4029,slaughter_point,31.288175029891306
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,5484,slaughter_point,10.603590513821871
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,5484,slaughter_point,9.405752596287357
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,5484,slaughter_point,8.184261618695594
