field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,221.4353996136679,46.17420782619426
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.35590403802483,12.909262969805228
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.58094025856681,9.535685592774282
4984281,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,113.34760696568287,5.642639863972404
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.024606635067274,3.118739976368598
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.3806818324007155,3.1087037557025057
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.29406120970464,2.716818316042302
4685105,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,6.591455635556257,2.481839554175935
4894338,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,273.45935046705,1.5236911945234863
4681776,GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,cattle,28.54882965657395,1.1992123598349458
