field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,222.47080974772464,46.17420782619426
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.64525840080244,12.909262969805228
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,14.655632337823574,10.803708043856142
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,10.74948154035115,10.74402097332412
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.713060674570105,9.535685592774282
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.048664440428554,3.118739976368598
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.41600961412646,3.1087037557025057
4745030,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,7.810065813477927,2.82047737328484
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.89004674215458,2.716818316042302
4685105,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,6.6230687087924744,2.481839554175935
