field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,221.20381939535403,46.17420782619426
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.29839829897532,12.909262969805228
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,14.571629595271979,10.803708043856142
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,10.68820059019417,10.74402097332412
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.554527770358032,9.535685592774282
4984281,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,113.22842444590191,5.642639863972404
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.019789273386702,3.118739976368598
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.373583071568585,3.1087037557025057
4745030,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,7.76543794671754,2.82047737328484
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.17082374226361,2.716818316042302
